step,t_iso,Ay,Ey,Coup2,modulation,mod_err,chosen_by
1,2025-12-18T15:17:28,0.0,0.0,0.0,0.22091809046433727,0.01,init_structured
2,2025-12-18T15:17:28,0.5,0.0,0.0,0.6584568366586753,0.01,init_structured
3,2025-12-18T15:17:28,-0.5,0.0,0.0,0.022150785673454104,0.01,init_structured
4,2025-12-18T15:17:28,0.0,0.5,0.0,0.1591934195969382,0.01,init_structured
5,2025-12-18T15:17:28,0.0,-0.5,0.0,0.06616250541907731,0.01,init_structured
6,2025-12-18T15:17:28,0.0,0.0,0.5,0.2487949152315605,0.01,init_structured
7,2025-12-18T15:17:28,0.0,0.0,-0.5,0.10627561305069103,0.01,init_structured
8,2025-12-18T15:17:28,0.7294074529925738,-1.7847159247911093,-1.1185605089095545,0.0,0.01,init_random
9,2025-12-18T15:17:28,2.0,2.0,2.0,0.0,0.01,GF
10,2025-12-18T15:17:29,2.0,0.45158334877200446,2.0,0.0,0.01,GF
11,2025-12-18T15:17:29,2.0,-2.0,2.0,0.007591438566168844,0.01,GF
12,2025-12-18T15:17:29,-2.0,-2.0,2.0,0.010186916401432168,0.01,GF
13,2025-12-18T15:17:30,-2.0,2.0,2.0,0.0,0.01,GF
14,2025-12-18T15:17:30,1.799510250449091,-0.5701938703537128,1.2849527422920426,0.008524783717720991,0.01,GF+jitter
15,2025-12-18T15:17:30,0.9578177790697069,-0.9771604695078824,-0.013892967334176554,0.0009138580925180728,0.01,GF+jitter
16,2025-12-18T15:17:30,-0.1596399767036636,0.7473615179041353,0.45266903901591693,0.011909414582947236,0.01,GF+jitter
17,2025-12-18T15:17:30,-1.488867288273568,-0.45243551304463114,-0.5257963109190249,0.0,0.01,GF+jitter
18,2025-12-18T15:17:30,0.7863398474820249,0.4080611976048476,1.0254863641170986,0.20214785444426633,0.01,GF+jitter
19,2025-12-18T15:17:31,-0.37432178434707186,1.5985573348165882,0.3860995827193201,0.005389875117671919,0.01,GF+jitter
20,2025-12-18T15:17:31,-0.3666373216994021,-1.6717245655071782,0.11706426736244957,0.0,0.01,GF+jitter
21,2025-12-18T15:17:31,-0.2385744985673175,-0.126802919664176,0.9015453153514361,0.028736491866168636,0.01,GF+jitter
22,2025-12-18T15:17:31,0.794721254805502,-1.7196758235406349,0.5339573868298086,0.0005690800406690523,0.01,GF+jitter
23,2025-12-18T15:17:31,0.1744180125792698,0.8429885217841586,-1.0842563775060712,0.01013504581430778,0.01,GF+jitter
24,2025-12-18T15:17:32,-2.0,-0.26328584883306005,2.0,0.015834130016071875,0.01,GF
25,2025-12-18T15:17:32,-0.523652183731651,0.20448907530020977,1.5727419966386567,0.0,0.01,GF+jitter
26,2025-12-18T15:17:32,-0.6479430803849922,0.7760367658545886,0.48930721010740097,0.0,0.01,GF+jitter
27,2025-12-18T15:17:32,-0.03003625571621038,0.324212199407925,-0.25834988118984237,0.1656873194150941,0.01,GF+jitter
28,2025-12-18T15:17:32,-0.539405555464068,-0.8606937028424313,-0.8081374688621477,0.008052813121364006,0.01,GF+jitter
29,2025-12-18T15:17:32,0.4887674774455135,1.6696032952811297,-1.4487046701658106,0.01197741365381652,0.01,GF+jitter
30,2025-12-18T15:17:32,-0.27115412852306386,-1.0108800579619817,1.1452428604383278,0.0,0.01,GF+jitter
31,2025-12-18T15:17:33,2.0,2.0,-2.0,0.0025969629053528426,0.01,GF
32,2025-12-18T15:17:33,-2.0,2.0,-2.0,0.002555639989503725,0.01,GF
33,2025-12-18T15:17:33,2.0,-2.0,-2.0,0.006463864197887719,0.01,GF
34,2025-12-18T15:17:33,1.160733834480939,-0.44631230123286203,0.6431739021257958,0.029367276116078176,0.01,GF+jitter
35,2025-12-18T15:17:33,2.0,-0.002749774839311718,-2.0,0.003122739360104906,0.01,GF
36,2025-12-18T15:17:33,-1.3573372707533715,-1.072723356647172,1.9997979836138993,0.0003387052726155546,0.01,GF+jitter
37,2025-12-18T15:17:33,0.2214769125856857,1.6496135799841523,1.0651584117725226,0.0,0.01,GF+jitter
38,2025-12-18T15:17:34,-2.0,-2.0,-2.0,0.006210704271778885,0.01,GF
39,2025-12-18T15:17:34,-1.6850098785921004,0.6947009853914361,1.8686550674514466,0.01244699800241517,0.01,GF+jitter
40,2025-12-18T15:17:34,0.3560470655310546,-0.7882568281432443,1.1801165805656453,0.007951772646597991,0.01,GF+jitter
41,2025-12-18T15:17:34,-2.0,-0.13306259315850405,-2.0,0.019947109208608173,0.01,GF
42,2025-12-18T15:17:34,1.576550074265981,-0.15243088485022893,1.2375524199255632,0.010576289500104115,0.01,GF+jitter
43,2025-12-18T15:17:34,1.633818931469385,0.19312160071908924,1.842508768067372,0.008813326453233515,0.01,GF+jitter
44,2025-12-18T15:17:34,-1.2423646343912855,-1.9822803009367864,0.00014205207998596592,0.015455734779119339,0.01,GF+jitter
45,2025-12-18T15:17:34,-0.049143723732966826,-0.3890325452469412,0.4964874526732781,0.05519742239416396,0.01,GF+jitter
46,2025-12-18T15:17:34,-1.7685258470360905,-1.140608026312972,-0.8983427702877083,0.006002663440341723,0.01,GF+jitter
47,2025-12-18T15:17:35,1.0068803195306373,-1.6329278898749737,0.6932680112054781,0.0,0.01,GF+jitter
48,2025-12-18T15:17:35,-2.0,-0.16331935254568888,-2.0,0.005182087470723514,0.01,GF
49,2025-12-18T15:17:35,-2.0,-0.28875473050765293,-2.0,0.0011723913027077417,0.01,GF
50,2025-12-18T15:17:35,-2.0,-0.06998350955418654,-2.0,0.015215033392847022,0.01,GF
