step,t_iso,Ay,Ey,Coup2,modulation,mod_err,chosen_by
1,2025-12-19T11:17:12,0.0,0.0,0.0,0.30741644970848603,0.01,init_structured
2,2025-12-19T11:17:12,0.5,0.0,0.0,0.6736123537453509,0.01,init_structured
3,2025-12-19T11:17:12,-0.5,0.0,0.0,0.04561443608771381,0.01,init_structured
4,2025-12-19T11:17:12,0.0,0.5,0.0,0.2448462177115163,0.01,init_structured
5,2025-12-19T11:17:12,0.0,-0.5,0.0,0.11559820020113772,0.01,init_structured
6,2025-12-19T11:17:12,0.0,0.0,0.5,0.33716217882293714,0.01,init_structured
7,2025-12-19T11:17:12,0.0,0.0,-0.5,0.1325717461048556,0.01,init_structured
8,2025-12-19T11:17:12,0.73,-1.78,-1.12,0.0,0.01,init_random
9,2025-12-19T11:17:12,2.0,0.23,0.78,0.0,0.01,GF
10,2025-12-19T11:17:12,0.87,-0.84,0.58,0.004512740142611273,0.01,GF
11,2025-12-19T11:17:13,0.38,0.22,1.04,0.33084304969431017,0.01,GF
12,2025-12-19T11:17:13,0.5700000000000001,0.0,0.06,0.6836152310812486,0.01,GF
13,2025-12-19T11:17:13,0.67,0.21,1.45,0.07482404759518563,0.01,GF
14,2025-12-19T11:17:13,0.53,0.48,-0.55,0.24491895567082325,0.01,GF
15,2025-12-19T11:17:13,0.51,0.18,0.85,0.48786105585770867,0.01,GF
16,2025-12-19T11:17:13,0.41000000000000003,0.27,0.11,0.7211011230023379,0.01,GF
17,2025-12-19T11:17:13,0.75,0.38,0.28,0.5481208336721832,0.01,GF
18,2025-12-19T11:17:13,0.47000000000000003,0.17,-0.31,0.48474357554631586,0.01,GF
19,2025-12-19T11:17:13,0.59,0.24,0.34,0.7655835681261494,0.01,GF
