step,t_iso,Ay,Ey,Coup2,modulation,mod_err,chosen_by
1,2025-12-19T02:55:12,0.0,0.0,0.0,0.30741644970848603,0.01,init_structured
2,2025-12-19T02:55:12,0.5,0.0,0.0,0.6736123537453509,0.01,init_structured
3,2025-12-19T02:55:12,-0.5,0.0,0.0,0.04561443608771381,0.01,init_structured
4,2025-12-19T02:55:12,0.0,0.5,0.0,0.2448462177115163,0.01,init_structured
5,2025-12-19T02:55:12,0.0,-0.5,0.0,0.11559820020113772,0.01,init_structured
6,2025-12-19T02:55:12,0.0,0.0,0.5,0.33716217882293714,0.01,init_structured
7,2025-12-19T02:55:12,0.0,0.0,-0.5,0.1325717461048556,0.01,init_structured
8,2025-12-19T02:55:12,0.7294074529925738,-1.7847159247911093,-1.1185605089095545,0.0,0.01,init_random
