step,t_iso,Ay,Ey,Coup2,modulation,mod_err,chosen_by
1,2025-12-19T03:37:30,0.0,0.0,0.0,0.30741644970848603,0.01,init_structured
2,2025-12-19T03:37:30,0.5,0.0,0.0,0.6736123537453509,0.01,init_structured
3,2025-12-19T03:37:30,-0.5,0.0,0.0,0.04561443608771381,0.01,init_structured
4,2025-12-19T03:37:30,0.0,0.5,0.0,0.2448462177115163,0.01,init_structured
5,2025-12-19T03:37:30,0.0,-0.5,0.0,0.11559820020113772,0.01,init_structured
6,2025-12-19T03:37:30,0.0,0.0,0.5,0.33716217882293714,0.01,init_structured
7,2025-12-19T03:37:30,0.0,0.0,-0.5,0.1325717461048556,0.01,init_structured
8,2025-12-19T03:37:30,0.7294074529925738,-1.7847159247911093,-1.1185605089095545,0.0,0.01,init_random
9,2025-12-19T03:37:30,-1.2625127572053212,-1.2963763956598786,1.2483780266230946,0.0,0.01,init_random
10,2025-12-19T03:37:30,1.6933799921082255,-0.893702408811575,1.2790182463720083,0.0,0.01,init_random
11,2025-12-19T03:37:30,1.5595707724447436,0.05188182091812754,-1.020141595724814,0.009899458838295065,0.01,init_random
12,2025-12-19T03:37:30,1.2969663843896453,-1.144948146499618,0.9658682089388386,0.010437578052261705,0.01,init_random
13,2025-12-19T03:37:30,0.5197608183587232,1.7096290341006681,-1.0723672455743247,0.0,0.01,init_random
14,2025-12-19T03:37:30,1.1965005144803316,0.0726601474108568,-1.07377750073173,0.02213970115919417,0.01,init_random
15,2025-12-19T03:37:30,-1.3363840270370217,-0.00884412600882456,0.3308985624612797,9.193465935224154e-05,0.01,init_random
16,2025-12-19T03:37:30,0.6204683956155025,-0.2549443695351688,0.38010239539807106,0.4009652878837118,0.01,GF
17,2025-12-19T03:37:30,0.6077514749540116,1.077533931653051,0.43861013672896443,0.03411112547698876,0.01,GF
18,2025-12-19T03:37:30,0.11599022361389066,0.15572578791902464,0.34042671129373275,0.49689267004574744,0.01,GF
19,2025-12-19T03:37:30,1.3136822206074652,0.11669158493946953,0.2578671690590496,0.10630850234858097,0.01,GF
20,2025-12-19T03:37:30,0.5533430416470578,-0.5158548969462242,0.45417868161578245,0.15970042492428158,0.01,GF
21,2025-12-19T03:37:30,0.6005043586387272,1.0508023832642808,0.3217954243775328,0.06754770259027282,0.01,GF
22,2025-12-19T03:37:30,0.5080088112946928,0.124280033011944,-0.36281099163313507,0.4574969614300001,0.01,GF
23,2025-12-19T03:37:30,0.5284499916923152,0.11949125890724865,1.022086561242473,0.3470268446199401,0.01,GF
24,2025-12-19T03:37:30,0.5488158893702492,0.12644250329544593,-0.37584709198912675,0.45843830589644197,0.01,GF
25,2025-12-19T03:37:30,0.5361665745549579,0.597132848694766,0.2582919593027862,0.4567331312422329,0.01,GF
26,2025-12-19T03:37:30,0.08208149915701707,0.14637490844172404,0.26550185270241755,0.4685874218848818,0.01,GF
27,2025-12-19T03:37:30,0.547249271927894,0.14121949452656363,0.9497620934333713,0.400799997784467,0.01,GF
28,2025-12-19T03:37:30,0.557139982065941,0.13710196584385653,-0.369245049864801,0.4558402129796877,0.01,GF
29,2025-12-19T03:37:30,0.5399682695661884,0.6064438355772868,0.2749794412426904,0.46159647611944166,0.01,GF
30,2025-12-19T03:37:30,0.5549170183491111,-0.28221436787035803,0.26388475187910526,0.40925579214240176,0.01,GF
31,2025-12-19T03:37:30,1.0021693447623075,0.15626323002712714,0.2599461629275972,0.36348296032355804,0.01,GF
32,2025-12-19T03:37:30,0.5155432639264473,0.15256162055321523,-0.39677157321089296,0.434638097073693,0.01,GF
33,2025-12-19T03:37:30,0.5144114065517071,0.153065969789032,1.0470618334496544,0.3376496672503557,0.01,GF
