step,t_iso,Ay,Ey,Coup2,modulation,mod_err,chosen_by
1,2025-12-22T09:46:44,0.0,0.0,0.0,0.30741644970848603,0.01,init_structured
2,2025-12-22T09:46:44,0.5,0.0,0.0,0.6736123537453509,0.01,init_structured
3,2025-12-22T09:46:44,-0.5,0.0,0.0,0.04561443608771381,0.01,init_structured
4,2025-12-22T09:46:44,0.0,0.5,0.0,0.2448462177115163,0.01,init_structured
5,2025-12-22T09:46:44,0.0,-0.5,0.0,0.11559820020113772,0.01,init_structured
6,2025-12-22T09:46:44,0.0,0.0,0.5,0.33716217882293714,0.01,init_structured
7,2025-12-22T09:46:44,0.0,0.0,-0.5,0.1325717461048556,0.01,init_structured
8,2025-12-22T09:46:44,0.73,-1.78,-1.12,0.0,0.01,init_random
9,2025-12-22T09:46:44,0.88,0.4,0.42,0.4124107807475179,0.01,GF
10,2025-12-22T09:46:44,0.6,-0.08,0.01,0.5621838794713984,0.01,GF
11,2025-12-22T09:46:44,0.53,0.34,0.31,0.7386716029059354,0.01,GF
12,2025-12-22T09:46:44,0.88,0.6900000000000001,0.23,0.2342134670236475,0.01,GF
13,2025-12-22T09:46:44,0.4,0.07,0.41000000000000003,0.7071788235419125,0.01,GF
14,2025-12-22T09:46:44,0.76,0.37,0.39,0.5673347452291377,0.01,GF
15,2025-12-22T09:46:44,0.46,0.21,0.2,0.7909397035920579,0.01,GF
