step,t_iso,Ay,Ey,Coup2,modulation,mod_err,chosen_by
1,2025-12-19T03:42:52,0.0,0.0,0.0,0.30741644970848603,0.01,init_structured
2,2025-12-19T03:42:52,0.5,0.0,0.0,0.6736123537453509,0.01,init_structured
3,2025-12-19T03:42:52,-0.5,0.0,0.0,0.04561443608771381,0.01,init_structured
4,2025-12-19T03:42:52,0.0,0.5,0.0,0.2448462177115163,0.01,init_structured
5,2025-12-19T03:42:52,0.0,-0.5,0.0,0.11559820020113772,0.01,init_structured
6,2025-12-19T03:42:52,0.0,0.0,0.5,0.33716217882293714,0.01,init_structured
7,2025-12-19T03:42:52,0.0,0.0,-0.5,0.1325717461048556,0.01,init_structured
8,2025-12-19T03:42:52,0.7294074529925738,-1.7847159247911093,-1.1185605089095545,0.0,0.01,init_random
9,2025-12-19T03:42:52,1.8061975803799326,-0.03003625571621038,0.324212199407925,0.0,0.01,BO
10,2025-12-19T03:42:52,1.2759569011568916,0.17875171956252078,-0.8096708273451028,0.010249266846757343,0.01,BO
11,2025-12-19T03:44:11,0.8902692972759043,0.30813476952716856,0.8243849844963997,0.30499761471171954,0.01,BO
12,2025-12-19T03:42:53,-1.9906294674830938,0.4537778572364437,0.8252026281829767,0.010186919299576234,0.01,BO
13,2025-12-19T03:42:54,1.0570597028792466,-0.5300099877318996,0.1476129080623516,0.04131447152576727,0.01,BO
14,2025-12-19T03:42:54,0.9583091947502025,0.49056050247495797,0.10413564420063315,0.30225014539730066,0.01,BO
15,2025-12-19T03:42:54,-1.9908349024461547,-1.654044666362914,-0.27824772472055503,6.445987854503471e-05,0.01,BO
16,2025-12-19T03:42:55,-1.9580140022989734,1.6044448017900677,-0.8102292937868971,0.0,0.01,BO
17,2025-12-19T03:42:55,-0.33843646204176814,-1.9902994762999753,-1.7723917769748572,0.0,0.01,BO
18,2025-12-19T03:42:56,1.3467687409814366,-1.9451624906098517,-1.9645089682154722,0.0,0.01,BO
19,2025-12-19T03:42:56,-1.8913451412346363,-1.9685128886351158,1.8546745412120123,0.005385269386208077,0.01,BO
20,2025-12-19T03:42:56,-1.9893209788890291,0.01816667518371018,-0.7996502458608408,0.0,0.01,BO
21,2025-12-19T03:42:57,0.5802193957629456,-0.015336280835415828,-0.0009599856798438999,0.6272316350371318,0.01,BO
22,2025-12-19T03:42:57,0.6867826258232248,-0.007926928614386597,0.24206981955319717,0.6411593579982008,0.01,BO
23,2025-12-19T03:44:16,0.584117530618582,0.17737357387536967,0.2236362347854164,0.7787473860842302,0.01,BO
24,2025-12-19T03:42:58,0.5120888047104502,0.2812182012529396,0.40724870034010063,0.7650729139308788,0.01,BO
25,2025-12-19T03:42:59,0.49969533227639307,0.2871304933699417,0.41052426739321835,0.7414845596257646,0.01,BO
26,2025-12-19T03:42:59,0.3586670854099796,0.34722309263691065,0.5146220225523668,0.6219354968562135,0.01,BO
27,2025-12-19T03:42:59,0.9094474210011465,-0.49972537437593845,-1.9930352190540281,0.0,0.01,BO
28,2025-12-19T03:43:00,0.7269409703938812,0.18327143469254326,0.2619893466072183,0.6834300327455933,0.01,BO
29,2025-12-19T03:43:00,0.5629677184836024,0.14329286997837531,0.37623340343384415,0.7819304632982157,0.01,BO
30,2025-12-19T03:43:01,0.5396210753219646,0.1922302920657648,0.38935411548376964,0.7717970648584943,0.01,BO
31,2025-12-19T03:43:01,0.5543421446774985,0.17510928807987058,0.24169776556371625,0.7925496531191145,0.01,BO
32,2025-12-19T03:43:02,0.5151756060177788,0.2929567284282566,0.4074250180566148,0.7454767050099305,0.01,BO
33,2025-12-19T03:43:02,0.5917212525332043,0.16695437831778426,0.2505790701005721,0.7818849789284135,0.01,BO
34,2025-12-19T03:43:02,0.5274053572614199,0.12910994571962675,0.17619591988482464,0.79454247147071,0.01,BO
35,2025-12-19T03:44:21,-1.9450044286916421,-0.6398441361202343,0.27227703373754686,0.0031226305422156235,0.01,BO
36,2025-12-19T03:43:03,0.4852669802935021,0.19909063202677224,0.23602744048927438,0.7983809155975494,0.01,BO
37,2025-12-19T03:43:04,0.4991455598653354,0.299304469348761,0.39492539618893785,0.7420650681521044,0.01,BO
38,2025-12-19T03:43:04,-0.8990814255634181,-1.9608298507176882,-0.35745365918100935,0.006210705262745611,0.01,BO
39,2025-12-19T03:43:04,0.6245556732957445,0.2115221991008327,0.12643329759153765,0.7485660620469724,0.01,BO
40,2025-12-19T03:43:05,0.6335301858938442,0.10562678052813013,0.21681142778341211,0.7417489486372473,0.01,BO
41,2025-12-19T03:43:05,0.568901660977124,0.1199672381825918,0.20173725099358997,0.7938018113645108,0.01,BO
