step,t_iso,Ay,Ey,Coup2,modulation,mod_err,chosen_by
1,2025-12-19T00:54:03,0.0,0.0,0.0,0.22923295096061155,0.001,init_structured
2,2025-12-19T00:54:03,0.5,0.0,0.0,0.6459825599261293,0.001,init_structured
3,2025-12-19T00:54:03,-0.5,0.0,0.0,0.010959786998788624,0.001,init_structured
4,2025-12-19T00:54:03,0.0,0.5,0.0,0.16633884134958718,0.001,init_structured
5,2025-12-19T00:54:03,0.0,-0.5,0.0,0.03857559731262504,0.001,init_structured
6,2025-12-19T00:54:03,0.0,0.0,0.5,0.23448486630921894,0.001,init_structured
7,2025-12-19T00:54:03,0.0,0.0,-0.5,0.1251437841289056,0.001,init_structured
8,2025-12-19T00:54:03,0.7294074529925738,-1.7847159247911093,-1.1185605089095545,0.0,0.001,init_random
