step,t_iso,Ay,Ey,Coup2,modulation,mod_err,chosen_by
1,2025-12-22T09:45:33,0.0,0.0,0.0,0.30741644970848603,0.01,init_structured
2,2025-12-22T09:45:33,0.5,0.0,0.0,0.6736123537453509,0.01,init_structured
3,2025-12-22T09:45:33,-0.5,0.0,0.0,0.04561443608771381,0.01,init_structured
4,2025-12-22T09:45:33,0.0,0.5,0.0,0.2448462177115163,0.01,init_structured
5,2025-12-22T09:45:33,0.0,-0.5,0.0,0.11559820020113772,0.01,init_structured
6,2025-12-22T09:45:33,0.0,0.0,0.5,0.33716217882293714,0.01,init_structured
7,2025-12-22T09:45:33,0.0,0.0,-0.5,0.1325717461048556,0.01,init_structured
8,2025-12-22T09:45:33,0.73,-1.78,-1.12,0.0,0.01,init_random
9,2025-12-22T09:45:33,2.0,0.15,0.65,0.0,0.01,GF
10,2025-12-22T09:45:34,0.65,0.23,-0.8,0.13511928016214356,0.01,GF
11,2025-12-22T09:45:34,0.81,1.56,0.6900000000000001,0.008833992826131336,0.01,GF
12,2025-12-22T09:45:34,0.9,0.17,-0.23,0.3521973652868529,0.01,GF
13,2025-12-22T09:45:34,0.6900000000000001,0.14,1.9100000000000001,0.0,0.01,GF
14,2025-12-22T09:45:34,0.6900000000000001,0.09,-0.27,0.4735790603487463,0.01,GF
15,2025-12-22T09:45:34,0.6900000000000001,0.13,1.08,0.2715437733589189,0.01,GF
16,2025-12-22T09:45:34,0.52,-0.65,0.4,0.07602976493507589,0.01,GF
17,2025-12-22T09:45:34,0.56,0.2,0.8200000000000001,0.47854467896343517,0.01,GF
18,2025-12-22T09:45:34,0.54,0.18,-0.32,0.47373823411451027,0.01,GF
19,2025-12-22T09:45:34,0.54,0.2,0.8300000000000001,0.5055889183010733,0.01,GF
20,2025-12-22T09:45:34,0.53,0.21,-0.32,0.48122047212643987,0.01,GF
21,2025-12-22T09:45:34,0.51,0.21,0.84,0.48895306344413925,0.01,GF
22,2025-12-22T09:45:34,0.54,0.2,-0.33,0.4842885904715618,0.01,GF
23,2025-12-22T09:45:34,0.51,0.2,0.84,0.4961416974952675,0.01,GF
24,2025-12-22T09:45:34,0.53,0.2,-0.31,0.5170820874226868,0.01,GF
25,2025-12-22T09:45:34,0.52,0.21,0.84,0.48895874379741017,0.01,GF
26,2025-12-22T09:45:34,0.52,0.2,-0.36,0.4508963328139623,0.01,GF
27,2025-12-22T09:45:34,0.52,0.2,0.85,0.48512019220550284,0.01,GF
28,2025-12-22T09:45:34,0.52,0.2,-0.31,0.5103134349522975,0.01,GF
29,2025-12-22T09:45:34,0.51,0.2,0.84,0.5071355662280629,0.01,GF
30,2025-12-22T09:45:34,0.51,0.27,-0.56,0.2962106709045556,0.01,GF
31,2025-12-22T09:45:34,0.52,0.21,0.84,0.49618370750907553,0.01,GF
32,2025-12-22T09:45:34,0.52,0.21,-0.31,0.5039677562668662,0.01,GF
33,2025-12-22T09:45:34,0.51,0.28,0.84,0.48645531399466324,0.01,GF
34,2025-12-22T09:45:34,0.51,0.21,-0.31,0.5133423856405989,0.01,GF
35,2025-12-22T09:45:34,0.51,0.2,0.8300000000000001,0.5064255378546617,0.01,GF
36,2025-12-22T09:45:34,0.51,0.21,-0.31,0.502478513802536,0.01,GF
37,2025-12-22T09:45:34,0.52,0.21,0.84,0.4913208663526014,0.01,GF
38,2025-12-22T09:45:34,0.51,0.21,-0.31,0.5083505128134591,0.01,GF
39,2025-12-22T09:45:34,0.51,0.2,0.84,0.5076067117475127,0.01,GF
40,2025-12-22T09:45:34,0.51,0.21,-0.32,0.4972725339503166,0.01,GF
41,2025-12-22T09:45:34,0.5,0.22,0.8300000000000001,0.5216229856259575,0.01,GF
42,2025-12-22T09:45:34,0.51,0.22,-0.31,0.5104664004307845,0.01,GF
43,2025-12-22T09:45:34,0.51,0.89,0.26,0.1753616240047433,0.01,GF
44,2025-12-22T09:45:34,0.51,0.18,-0.32,0.511121480917137,0.01,GF
45,2025-12-22T09:45:34,0.5,0.19,0.85,0.4901288007950279,0.01,GF
46,2025-12-22T09:45:34,0.5,0.19,-0.31,0.5099978363232105,0.01,GF
47,2025-12-22T09:45:34,0.51,0.19,1.0,0.36385652775496513,0.01,GF
48,2025-12-22T09:45:34,0.51,0.19,-0.32,0.5006007273438013,0.01,GF
49,2025-12-22T09:45:34,0.52,0.18,0.84,0.4964130755166248,0.01,GF
50,2025-12-22T09:45:34,0.51,0.18,-0.32,0.5108807795308624,0.01,GF
51,2025-12-22T09:45:34,0.52,0.19,0.84,0.48235296318938736,0.01,GF
52,2025-12-22T09:45:34,0.51,0.19,-0.32,0.49814446808687596,0.01,GF
53,2025-12-22T09:45:34,0.5,0.18,0.85,0.4915487989466238,0.01,GF
54,2025-12-22T09:45:34,0.51,0.18,-0.33,0.4783212694903724,0.01,GF
55,2025-12-22T09:45:34,0.51,0.2,0.84,0.49495991747592316,0.01,GF
56,2025-12-22T09:45:34,0.51,0.19,-0.32,0.4982689637606528,0.01,GF
57,2025-12-22T09:45:34,0.51,0.19,0.84,0.512825888470207,0.01,GF
58,2025-12-22T09:45:34,0.5,0.19,-0.32,0.5065367346601646,0.01,GF
59,2025-12-22T09:45:34,0.5,0.18,0.85,0.49639607917997075,0.01,GF
60,2025-12-22T09:45:34,0.5,0.18,-0.33,0.49262208281200337,0.01,GF
