step,t_iso,Ay,Ey,Coup2,modulation,mod_err,chosen_by
1,2025-12-19T00:53:42,0.0,0.0,0.0,0.13776948550159518,0.1,init_structured
2,2025-12-19T00:53:42,0.5,0.0,0.0,0.7831996039841352,0.1,init_structured
3,2025-12-19T00:53:42,-0.5,0.0,0.0,0.13406077242010891,0.1,init_structured
4,2025-12-19T00:53:42,0.0,0.5,0.0,0.0877392020704485,0.1,init_structured
5,2025-12-19T00:53:42,0.0,-0.5,0.0,0.3420315864836,0.1,init_structured
6,2025-12-19T00:53:42,0.0,0.0,0.5,0.3918954044549767,0.1,init_structured
7,2025-12-19T00:53:42,0.0,0.0,-0.5,0.0,0.1,init_structured
8,2025-12-19T00:53:42,0.7294074529925738,-1.7847159247911093,-1.1185605089095545,0.0,0.1,init_random
9,2025-12-19T00:53:42,1.0,0.0,0.0,0.16029203642138806,0.1,GF
