step,t_iso,Ay,Ey,Coup2,modulation,mod_err,chosen_by
1,2025-12-19T11:17:56,0.0,0.0,0.0,0.30741644970848603,0.01,init_structured
2,2025-12-19T11:17:56,0.5,0.0,0.0,0.6736123537453509,0.01,init_structured
3,2025-12-19T11:17:56,-0.5,0.0,0.0,0.04561443608771381,0.01,init_structured
4,2025-12-19T11:17:56,0.0,0.5,0.0,0.2448462177115163,0.01,init_structured
5,2025-12-19T11:17:56,0.0,-0.5,0.0,0.11559820020113772,0.01,init_structured
6,2025-12-19T11:17:56,0.0,0.0,0.5,0.33716217882293714,0.01,init_structured
7,2025-12-19T11:17:56,0.0,0.0,-0.5,0.1325717461048556,0.01,init_structured
8,2025-12-19T11:17:56,0.73,-1.78,-1.12,0.0,0.01,init_random
9,2025-12-19T11:17:56,2.0,0.17,0.66,0.0,0.01,GF
10,2025-12-19T11:17:56,0.85,0.4,0.44,0.4290053668881562,0.01,GF
11,2025-12-19T11:17:56,0.63,1.23,0.67,0.02707498794824539,0.01,GF
12,2025-12-19T11:17:56,0.71,0.07,-0.8,0.1456725246119987,0.01,GF
13,2025-12-19T11:17:56,0.8300000000000001,0.14,1.08,0.19422348826808783,0.01,GF
14,2025-12-19T11:17:56,1.01,-0.03,0.6,0.27082247432941137,0.01,GF
15,2025-12-19T11:17:56,0.55,0.11,0.8300000000000001,0.49260820823327933,0.01,GF
16,2025-12-19T11:17:56,0.49,0.07,0.27,0.7538951317460844,0.01,GF
17,2025-12-19T11:17:56,0.5,0.14,0.9,0.4194479710434792,0.01,GF
