step,t_iso,Ay,Ey,Coup2,modulation,mod_err,chosen_by
1,2025-12-22T09:45:27,0.0,0.0,0.0,0.30741644970848603,0.01,init_structured
2,2025-12-22T09:45:27,0.5,0.0,0.0,0.6736123537453509,0.01,init_structured
3,2025-12-22T09:45:27,-0.5,0.0,0.0,0.04561443608771381,0.01,init_structured
4,2025-12-22T09:45:27,0.0,0.5,0.0,0.2448462177115163,0.01,init_structured
5,2025-12-22T09:45:27,0.0,-0.5,0.0,0.11559820020113772,0.01,init_structured
6,2025-12-22T09:45:27,0.0,0.0,0.5,0.33716217882293714,0.01,init_structured
7,2025-12-22T09:45:27,0.0,0.0,-0.5,0.1325717461048556,0.01,init_structured
8,2025-12-22T09:45:27,0.73,-1.78,-1.12,0.0,0.01,init_random
9,2025-12-22T09:45:27,0.88,0.4,0.42,0.4124107807475179,0.01,GF
10,2025-12-22T09:45:27,-0.31,-0.09,0.26,0.07710334109086552,0.01,GF
11,2025-12-22T09:45:27,0.76,0.93,0.02,0.1105982843107155,0.01,GF
12,2025-12-22T09:45:27,0.71,0.11,-0.46,0.33692701898826294,0.01,GF
13,2025-12-22T09:45:27,0.53,0.21,0.92,0.40568755650362875,0.01,GF
14,2025-12-22T09:45:27,0.53,0.13,-0.38,0.45070475306410723,0.01,GF
15,2025-12-22T09:45:27,0.54,0.16,0.88,0.4601351819912875,0.01,GF
16,2025-12-22T09:45:27,0.53,0.15,-0.33,0.46642232265472616,0.01,GF
17,2025-12-22T09:45:27,0.68,0.22,0.34,0.6810978710160075,0.01,GF
18,2025-12-22T09:45:27,0.52,0.14,-0.32,0.4740126989711326,0.01,GF
19,2025-12-22T09:45:27,0.52,0.1,0.85,0.48368909718336084,0.01,GF
20,2025-12-22T09:45:27,0.51,0.14,-0.33,0.4744149227331129,0.01,GF
21,2025-12-22T09:45:27,0.51,0.14,0.86,0.47228624922697976,0.01,GF
22,2025-12-22T09:45:27,0.51,0.15,-0.33,0.486999198688824,0.01,GF
23,2025-12-22T09:45:27,0.38,0.16,0.52,0.700455761246981,0.01,GF
24,2025-12-22T09:45:27,0.44,0.19,0.39,0.7903204422119076,0.01,GF
